               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12335,             0.28444,            0.048055,            0.010252,               0.035,           0.0058692,           0.0011089,             0.12319,             0.19125,            0.051135,              0.0937,              0.0007,              0.0007
                   1,             0.11184,             0.28855,            0.047289,            0.043584,              0.0975,            0.024605,           0.0074788,             0.10575,             0.19664,            0.051575,            0.086485,           0.0014851,           0.0014851
                   2,             0.10403,             0.27789,            0.048352,            0.047275,              0.1425,            0.035066,           0.0098378,            0.098598,             0.19945,            0.055371,            0.079254,           0.0022545,           0.0022545
                   3,            0.091499,             0.24126,            0.048697,            0.057683,               0.225,             0.06295,            0.016132,            0.084352,             0.20426,             0.04989,            0.072008,           0.0030079,           0.0030079
                   4,            0.083947,             0.22874,            0.046141,             0.17771,               0.475,              0.1661,            0.056706,            0.078712,             0.20609,             0.04502,            0.064746,           0.0037456,           0.0037456
                   5,            0.082136,             0.22472,            0.043873,             0.28393,             0.61531,             0.31789,             0.13126,            0.072919,             0.17043,             0.04386,            0.057467,           0.0044673,           0.0044673
                   6,            0.075563,             0.22248,            0.042612,             0.12415,                0.54,             0.17546,            0.045339,            0.078222,             0.25117,            0.044287,            0.050173,           0.0051733,           0.0051733
                   7,             0.07731,              0.2053,            0.042098,             0.13711,               0.525,             0.19248,            0.075799,            0.085343,             0.17797,            0.043921,            0.042863,           0.0058634,           0.0058634
                   8,            0.080746,             0.20357,            0.041822,            0.082278,                0.63,             0.17342,            0.030243,            0.075229,             0.15738,            0.043286,            0.035538,           0.0065377,           0.0065377
                   9,            0.078033,             0.20906,            0.041534,             0.10636,                0.48,             0.12585,            0.031934,            0.081554,             0.19344,            0.042834,            0.028196,           0.0071961,           0.0071961
                  10,             0.08027,             0.21881,            0.041455,               0.173,                0.59,             0.27452,            0.058553,            0.077071,             0.14594,            0.042529,            0.020839,           0.0078387,           0.0078387
                  11,            0.066806,             0.23942,            0.041037,             0.31334,              0.8025,             0.55239,             0.15997,            0.059052,             0.19949,            0.041931,            0.013465,           0.0084655,           0.0084655
                  12,            0.065712,             0.21889,            0.041065,             0.22806,               0.885,             0.34869,             0.21103,            0.068003,             0.17113,            0.041772,            0.008812,            0.008812,            0.008812
                  13,            0.071215,             0.24726,            0.040405,             0.34787,             0.55916,              0.5032,             0.11245,            0.078695,              0.2357,            0.040649,            0.008812,            0.008812,            0.008812
                  14,            0.076944,             0.22682,            0.040463,              0.3763,             0.52013,             0.46538,              0.1238,            0.081254,              0.1693,            0.040247,            0.008713,            0.008713,            0.008713
                  15,              0.0791,              0.2161,            0.039931,             0.25389,             0.55643,             0.23411,            0.051257,            0.076991,             0.18773,            0.039966,            0.008614,            0.008614,            0.008614
                  16,            0.067071,             0.20639,            0.039574,             0.30786,               0.565,             0.45684,             0.22781,            0.073521,             0.17891,            0.039636,            0.008515,            0.008515,            0.008515
